customer_id,months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,FraudFound_P
10001,328,48,521585,17-10-2014,OH,1000,1406.91,0,MALE,MD,craft-repair,sleeping,husband,53300,0,25-01-2015,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,YES,1,2,YES,71610,6510,13020,52080,Saab,92x,0
10003,134,29,687698,06-09-2000,OH,2000,1413.14,5000000,FEMALE,PhD,sales,board-games,own-child,35100,0,22-02-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,NO,2,3,NO,34650,7700,3850,23100,Dodge,RAM,0
10004,256,41,227811,25-05-1990,IL,2000,1415.74,6000000,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400,10-01-2015,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,?,1,2,NO,63400,6340,6340,50720,Chevrolet,Tahoe,0
10006,256,39,104594,12-10-2006,OH,1000,1351.1,0,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,02-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,NO,0,2,NO,64100,6410,6410,51280,Saab,95,0
10007,137,34,413978,04-06-2000,IN,1000,1333.35,0,MALE,PhD,prof-specialty,board-games,husband,0,-77000,13-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,?,0,0,?,78650,21450,7150,50050,Nissan,Pathfinder,0
10008,165,37,429027,03-02-1990,IL,1000,1137.03,0,MALE,Associate,tech-support,base-jumping,unmarried,0,0,27-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,?,2,2,YES,51590,9380,9380,32830,Audi,A5,0
10009,27,33,485665,05-02-1997,IL,500,1442.99,0,FEMALE,PhD,other-service,golf,own-child,0,0,30-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,27700,2770,2770,22160,Toyota,Camry,0
10010,212,42,636550,25-07-2011,IL,500,1315.68,0,MALE,PhD,priv-house-serv,camping,wife,0,-39300,05-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,1,NO,2,1,?,42300,4700,4700,32900,Saab,92x,0
10011,235,42,543610,26-05-2002,OH,500,1253.12,4000000,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,06-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,?,87010,7910,15820,63280,Ford,F150,0
10012,447,61,214618,29-05-1999,OH,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,15-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,114920,17680,17680,79560,Audi,A3,0
10013,60,23,842643,20-11-1997,OH,500,1215.36,3000000,MALE,MD,protective-serv,reading,wife,0,0,22-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,56520,4710,9420,42390,Saab,95,0
10015,180,38,644081,28-12-1998,OH,2000,1301.13,0,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,15-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,NO,0,2,YES,46200,4200,8400,33600,Dodge,Neon,0
10016,473,58,892874,19-10-1992,IN,2000,1131.4,0,FEMALE,MD,transport-moving,movies,other-relative,55700,0,29-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,YES,0,0,NO,63120,10520,10520,42080,Accura,MDX,0
10017,70,26,558938,08-06-2005,OH,1000,1199.44,5000000,MALE,College,machine-op-inspct,hiking,own-child,63600,0,22-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,?,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,0
10018,140,31,275265,15-11-2004,IN,500,708.64,6000000,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,06-01-2015,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,NO,0,2,YES,77880,14160,7080,56640,Suburu,Legacy,0
10019,160,37,921202,28-12-2014,OH,500,1374.22,0,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,19-01-2015,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,72930,6630,13260,53040,Accura,TL,0
10020,196,39,143972,02-08-1992,IN,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,22-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,?,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,0
10021,460,62,183430,25-06-2002,IN,1000,1187.96,4000000,MALE,JD,other-service,bungie-jumping,own-child,0,0,01-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,?,47160,0,5240,41920,Suburu,Impreza,0
10022,217,41,431876,27-11-2005,IL,2000,875.15,0,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,10-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,?,1,2,?,37840,0,4730,33110,Accura,RSX,0
10023,370,55,285496,27-05-1994,IL,2000,972.18,0,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,11-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,71520,17880,5960,47680,Suburu,Forrestor,0
10024,413,55,115399,08-02-1991,IN,2000,1268.79,0,MALE,MD,priv-house-serv,chess,own-child,0,-31000,19-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,?,2,2,?,98160,8180,16360,73620,Dodge,RAM,0
10025,237,40,736882,02-02-1996,IN,1000,883.31,0,MALE,College,craft-repair,kayaking,husband,0,-53500,24-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,77880,7080,14160,56640,Ford,Escape,0
10026,8,35,699044,05-12-2013,OH,2000,1266.92,0,MALE,Masters,sales,polo,own-child,0,0,09-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,71500,16500,11000,44000,Ford,Escape,0
10029,224,40,914088,08-02-1990,OH,2000,1291.7,0,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,08-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,69840,7760,15520,46560,Dodge,Neon,0
10030,241,45,596785,04-03-2014,IL,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,15-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,91650,14100,14100,63450,Accura,TL,0
10031,64,25,908616,18-02-2000,IL,1000,954.16,0,MALE,Masters,prof-specialty,video-games,husband,53200,0,18-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,?,75600,12600,12600,50400,Toyota,Corolla,0
10032,166,37,666333,19-06-2008,IL,2000,1337.28,8000000,MALE,JD,craft-repair,reading,husband,27500,0,28-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,NO,2,2,?,67140,7460,7460,52220,Ford,F150,0
10033,155,35,336614,01-08-2003,IL,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,24-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 Series,0
10034,114,30,584859,04-04-1992,IL,1000,1558.29,0,MALE,High School,farming-fishing,video-games,wife,51400,-64000,09-01-2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,?,77110,14020,14020,49070,Suburu,Impreza,1
10035,149,37,990493,13-01-1991,IL,500,1415.68,0,MALE,PhD,prof-specialty,yachting,own-child,0,0,12-02-2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,64800,10800,5400,48600,Audi,A3,0
10036,147,33,129872,08-08-2010,OH,1000,1334.15,6000000,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,24-01-2015,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,53100,10620,5310,37170,Mercedes,C300,0
10037,62,28,200152,09-03-2003,IL,1000,988.45,0,FEMALE,Masters,protective-serv,camping,unmarried,0,0,09-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,?,1,1,YES,60200,6020,6020,48160,Suburu,Forrestor,0
10039,431,54,485664,25-11-2002,IN,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,21-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,?,2,0,?,62300,12460,6230,43610,Jeep,Wrangler,0
10040,199,37,982871,27-07-1997,IN,500,1262.08,0,MALE,JD,tech-support,video-games,wife,48500,0,08-01-2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,?,0,3,NO,60170,10940,10940,38290,Nissan,Pathfinder,0
10041,79,26,206213,08-05-1995,IL,500,1451.62,0,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,03-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,?,40000,8000,4000,28000,BMW,M5,0
10042,116,34,616337,30-08-2012,IN,500,1737.66,0,MALE,Associate,transport-moving,chess,unmarried,0,-24100,01-01-2015,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,?,1,1,?,97080,16180,16180,64720,BMW,X5,0
10043,37,23,448961,30-04-2006,IL,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,0,-67400,16-01-2015,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,0
10044,106,30,790442,13-04-2003,OH,500,538.17,0,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,10-02-2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,E400,0
10045,269,44,108844,05-12-2007,IL,2000,1081.08,0,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,14-02-2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,?,56400,11280,11280,33840,Toyota,Highlander,0
10046,265,40,430029,21-08-2006,IL,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,husband,0,0,21-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,?,55120,6890,0,48230,Accura,MDX,0
10047,163,33,529112,08-01-1990,IN,500,1240.47,0,FEMALE,Associate,other-service,polo,husband,35300,0,18-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,?,77110,0,14020,63090,Honda,Civic,0
10048,355,47,939631,18-03-1990,OH,2000,1273.7,4000000,MALE,College,other-service,kayaking,husband,0,0,10-01-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,62800,6280,6280,50240,Audi,A3,0
10050,192,35,582011,10-03-1997,IL,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,01-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,?,76600,15320,7660,53620,Mercedes,C300,0
